gov_level,dataset,pdf_source,fiscal_year,estimate_type,component,amount_crore,sector,demand_no,ministry,department,category,description
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1500.0,other,31.0,Department of Financial Services,,,Pradhan Mantri Mudra Yojana (PMMY)(through NCGTC)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1500.0,other,31.0,Department of Financial Services,,,Pradhan Mantri Mudra Yojana (PMMY)(through NCGTC)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1437.07,other,21.0,Department of Food and Public Distribution,,,Aircrafts and Aeroengines - Army
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1437.07,other,21.0,Department of Food and Public Distribution,,,Aircrafts and Aeroengines - Army
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1400.0,agriculture_rural,31.0,Department of Financial Services,,,Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1400.0,agriculture_rural,31.0,Department of Financial Services,,,Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1390.51,education,80.0,Department of Higher Education,,,Metropolitan Transportation Projects
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1390.51,education,80.0,Department of Higher Education,,,Metropolitan Transportation Projects
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1363.42,other,91.0,Department of Space,,,INSAT Satellite Systems
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1347.93,education,2.0,Department of Agricultural Research and Education,,,Crop Science
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1347.93,education,2.0,Department of Agricultural Research and Education,,,Crop Science
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1339.36,education,80.0,Department of Higher Education,,,Doubling
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1339.36,education,80.0,Department of Higher Education,,,Doubling
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1281.57,other,28.0,Department of Food and Public Distribution,,,Bhutan
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1173.73,healthcare,42.0,Department of Health and Family Welfare,,,Pardhan Mantri Swasthya Suraksha Yojana
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1158.14,other,11.0,Department of Commerce,,,Duty Drawback Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1158.14,other,11.0,Department of Commerce,,,Duty Drawback Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1122.07,other,16.0,Department of Food and Public Distribution,,,Schemes for Development of Sugar Industries
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1112.65,education,64.0,Department of Higher Education,,,Prime Minister Employment Generation Programme (PMEGP)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1112.65,education,64.0,Department of Higher Education,,,Prime Minister Employment Generation Programme (PMEGP)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1103.16,other,91.0,Department of Space,,,Space Applications
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1051.65,education,4.0,Department of Agricultural Research and Education,,,Feedstock
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1051.65,education,4.0,Department of Agricultural Research and Education,,,Feedstock
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1012.64,other,85.0,Department of Biotechnology,,,Biotechnology Research and Development
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1012.64,other,85.0,Department of Biotechnology,,,Biotechnology Research and Development
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1000.0,other,11.0,Department of Commerce,,,Interest Equalisation Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1000.0,other,11.0,Department of Commerce,,,Interest Equalisation Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,981.24,education,80.0,Department of Higher Education,,,Passenger Amenities
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,981.24,education,80.0,Department of Higher Education,,,Passenger Amenities
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,977.8,education,4.0,Department of Agricultural Research and Education,,,R and D Basic Science and Engineering
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,977.8,education,4.0,Department of Agricultural Research and Education,,,R and D Basic Science and Engineering
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,971.23,other,95.0,Department of Space,,,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,971.23,other,95.0,Department of Space,,,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)
